Factory,Production,Downtime,Defect_Rate,Maintenance_Cost,Output
Factory-1,2043,15,2,18559,2002
Factory-2,2840,13,1.4,17990,2800
Factory-3,2977,14,1.2,15194,2941
Factory-4,2587,7,1.6,17125,2546
Factory-5,2060,7,2.8,10528,2002
Factory-1,2088,18,1.9,10288,2048
Factory-2,2073,16,2.7,17438,2017
Factory-3,2076,17,1.4,17499,2047
Factory-4,2578,6,2.6,17997,2511
Factory-5,2453,14,1.6,10335,2414
Factory-1,2499,11,2.8,14104,2429
Factory-2,2726,11,2.1,18034,2669
Factory-3,2526,20,2.7,18077,2458
Factory-4,2833,11,1.4,11769,2793
Factory-5,2776,15,2.2,18656,2715
Factory-1,150000,450,48.5,980000,77250
Factory-2,2221,13,1.7,14043,2183
Factory-3,2527,16,2.2,12826,2471
Factory-4,2313,12,1.9,18334,2269
Factory-5,2240,10,1.8,16410,2200
Factory-1,2907,8,3,13758,2820
Factory-2,2683,8,2.4,14014,2619
Factory-3,2004,12,1.6,18760,1972
Factory-4,2797,12,2.4,15719,2730
Factory-5,2397,7,1.8,18381,2354
Factory-1,2031,19,2.2,19200,1986
Factory-2,2146,17,2.3,16574,2097
Factory-3,2508,15,2.7,19232,2440
Factory-4,2712,5,2.5,15088,2644
Factory-5,2295,6,1,17248,2272
Factory-1,2981,9,2.8,13735,2898
Factory-2,2763,7,2.2,16844,2702
Factory-3,2111,10,1.5,13646,2079
Factory-4,2714,18,1.2,10551,2681
Factory-5,2545,9,1.9,10140,2497
Factory-1,2288,12,1.3,10199,2258
Factory-2,2912,17,2.6,19540,2836
Factory-3,2614,16,2.7,12645,2543
Factory-4,2003,11,2.3,17495,1957
Factory-5,2443,9,1.6,14545,2404
Factory-1,2504,14,2.9,16508,2431
Factory-2,2725,15,1.4,16433,2687
Factory-3,150000,450,48.5,980000,77250
Factory-4,2894,12,2.1,15055,2833
Factory-5,2879,10,2.7,17277,2801
Factory-1,2926,18,2.9,17843,2841
Factory-2,2414,8,1,10708,2390
Factory-3,2065,10,2.4,19058,2015
Factory-4,2138,7,2.6,12067,2082
Factory-5,2935,6,1.5,14167,2891
