Month,Revenue,Expenses,Net_Profit,Cash_Flow,Operating_Cost
2024-01,1198230,783730,414500,381340,484172
2024-02,1229486,816173,413313,380248,508801
2024-03,1223349,826681,396668,364935,520844
2024-04,1269314,831970,437344,402356,514641
2024-05,1226195,811189,415006,381806,504640
2024-06,1318551,886501,432050,397486,556863
2024-07,1276000,839160,436840,401893,520160
2024-08,1342278,912376,429902,395510,576806
2024-09,1399512,955879,443633,408142,606001
2024-10,1371034,929697,441337,406030,586938
2024-11,1405852,922706,483146,444494,571243
2024-12,1409504,954348,455156,418744,601972
2025-01,1441244,967912,473332,435465,607601
2025-02,1455621,988984,466637,429306,625079
2025-03,1508435,1030363,478072,439826,653254
2025-04,1462540,968870,493670,454176,603235
2025-05,1521546,1033929,487617,448608,653542
2025-06,1516772,1005085,511687,470752,625892
2025-07,1580430,1043522,536908,493955,648414
2025-08,1585083,1066740,518343,476876,670469
2025-09,1631523,1094516,537007,494046,686635
2025-10,1661205,1099565,561640,516709,684264
2025-11,1647655,1110403,537252,494272,698489
2025-12,1687329,1114807,572522,526720,692975
2026-01,1716471,1137873,578598,532310,708755
2026-02,1738944,1179498,559446,514690,744762
2026-03,1805085,1189753,615332,566105,738482
2026-04,1770434,1174366,596068,548383,731757
2026-05,1835965,1232399,603566,555281,773408
2026-06,1812473,1212659,599814,551829,759541
2026-07,1883897,1277170,606727,558189,806196
2026-08,1874693,1245892,628801,578497,777219
2026-09,1953171,1296453,656718,604181,808160
2026-10,1924388,1289244,635144,584332,808147
2026-11,1996023,1324809,671214,617517,825803
2026-12,2067725,1404564,663161,610108,887633
2027-01,2060089,1378288,681801,627257,863266
2027-02,2093306,1399391,693915,638402,876064
2027-03,2141234,1431189,710045,653241,895880
2027-04,2185879,1450804,735075,676269,904334
2027-05,2127049,1445075,681974,627416,913313
2027-06,2186291,1468654,717637,660226,922081
2027-07,2283722,1535747,747975,688137,964816
2027-08,2325103,1571790,753313,693048,990514
2027-09,2296727,1558066,738661,679568,983884
2027-10,2388852,1616419,772433,710638,1019206
2027-11,2367496,1600096,767400,706008,1008222
2027-12,2459409,1631591,827818,761593,1016739
2028-01,2406718,1624031,782687,720072,1022351
2028-02,2469356,1672726,796630,732900,1055387
2028-03,2519856,1693697,826159,760066,1063733
2028-04,2583767,1722214,861553,792629,1076272
2028-05,2599962,1742385,857577,788971,1092394
