Employee_ID,Department,Salary,Experience,Performance,Attrition,Training_Hours
EMP-1001,Sales,165000,14,83,0,56
EMP-1002,Product,112500,7,65,0,63
EMP-1003,Marketing,75000,2,78,0,43
EMP-1004,Customer Support,82500,3,94,0,59
EMP-1005,Finance,97500,5,98,0,61
EMP-1006,Engineering,92500,1,72,0,66
EMP-1007,Sales,82500,3,72,0,44
EMP-1008,Product,157500,13,94,0,34
EMP-1009,Marketing,120000,8,75,0,33
EMP-1010,Customer Support,135000,10,78,0,16
EMP-1011,Finance,127500,9,94,0,55
EMP-1012,Engineering,145000,8,88,0,49
EMP-1013,Sales,150000,12,79,0,25
EMP-1014,Product,82500,3,87,0,26
EMP-1015,Marketing,157500,13,83,0,49
EMP-1016,Customer Support,157500,13,95,0,64
EMP-1017,Finance,112500,7,75,0,72
EMP-1018,Engineering,115000,4,94,0,38
EMP-1019,Sales,135000,10,67,0,70
EMP-1020,Product,105000,6,76,0,44
EMP-1021,Marketing,75000,2,84,0,20
EMP-1022,Customer Support,75000,2,79,0,30
EMP-1023,Finance,112500,7,78,0,66
EMP-1024,Engineering,130000,6,74,0,25
EMP-1025,Sales,172500,15,86,0,77
EMP-1026,Product,120000,8,73,0,34
EMP-1027,Marketing,90000,4,90,0,33
EMP-1028,Customer Support,75000,2,80,0,63
EMP-1029,Finance,172500,15,85,0,79
EMP-1030,Engineering,145000,8,85,0,44
EMP-1031,Sales,97500,5,71,0,54
EMP-1032,Product,172500,15,81,0,64
EMP-1033,Marketing,142500,11,96,0,45
EMP-1034,Customer Support,75000,2,84,0,62
EMP-1035,Finance,90000,4,96,0,72
EMP-1036,Engineering,107500,3,94,0,16
EMP-1037,Sales,172500,15,91,0,57
EMP-1038,Product,120000,8,67,0,18
EMP-1039,Marketing,157500,13,79,0,66
EMP-1040,Customer Support,67500,1,88,0,13
EMP-1041,Finance,97500,5,96,0,38
EMP-1042,Engineering,152500,9,72,0,34
EMP-1043,Sales,75000,2,85,0,19
EMP-1044,Product,75000,2,93,0,69
EMP-1045,Marketing,165000,14,76,0,55
EMP-1046,Customer Support,67500,1,91,0,12
EMP-1047,Finance,97500,5,94,0,51
EMP-1048,Engineering,182500,13,87,0,16
EMP-1049,Sales,142500,11,90,0,43
EMP-1050,Product,90000,4,87,0,60
EMP-1051,Marketing,67500,1,68,1,16
EMP-1052,Customer Support,165000,14,73,0,13
EMP-1053,Finance,127500,9,78,0,39
EMP-1054,Engineering,137500,7,76,0,77
EMP-1055,Sales,120000,8,83,0,33
EMP-1056,Product,165000,14,86,0,70
EMP-1057,Marketing,75000,2,80,0,54
EMP-1058,Customer Support,90000,4,65,0,55
EMP-1059,Finance,157500,13,92,0,16
EMP-1060,Engineering,182500,13,73,0,75
EMP-1061,Sales,75000,2,88,0,13
EMP-1062,Product,82500,3,92,0,80
EMP-1063,Marketing,142500,11,66,0,45
EMP-1064,Customer Support,120000,8,92,0,10
EMP-1065,Finance,105000,6,94,0,39
EMP-1066,Engineering,160000,10,68,0,20
EMP-1067,Sales,75000,2,98,0,26
EMP-1068,Product,90000,4,65,0,36
EMP-1069,Marketing,120000,8,69,0,73
EMP-1070,Customer Support,135000,10,71,0,55
EMP-1071,Finance,82500,3,86,0,12
EMP-1072,Engineering,122500,5,71,0,72
EMP-1073,Sales,135000,10,94,0,51
EMP-1074,Product,127500,9,73,0,49
EMP-1075,Marketing,105000,6,84,0,22
EMP-1076,Customer Support,75000,2,85,0,63
EMP-1077,Finance,172500,15,65,0,46
EMP-1078,Engineering,137500,7,93,0,70
EMP-1079,Sales,90000,4,79,0,46
EMP-1080,Product,90000,4,94,0,36
EMP-1081,Marketing,90000,4,90,0,54
EMP-1082,Customer Support,112500,7,91,0,58
EMP-1083,Finance,150000,12,90,0,37
EMP-1084,Engineering,115000,4,81,0,70
EMP-1085,Sales,97500,5,89,0,74
EMP-1086,Product,165000,14,77,0,50
EMP-1087,Marketing,142500,11,66,0,70
EMP-1088,Customer Support,120000,8,71,0,51
EMP-1089,Finance,112500,7,82,0,72
EMP-1090,Engineering,130000,6,74,0,53
EMP-1091,Sales,120000,8,95,0,14
EMP-1092,Product,105000,6,97,0,57
EMP-1093,Marketing,150000,12,88,0,48
EMP-1094,Customer Support,172500,15,86,0,34
EMP-1095,Finance,97500,5,83,0,41
EMP-1096,Engineering,197500,15,85,0,31
EMP-1097,Sales,157500,13,74,0,17
EMP-1098,Product,120000,8,78,0,65
EMP-1099,Marketing,142500,11,79,0,19
EMP-1100,Customer Support,150000,12,68,0,19
EMP-1101,Finance,112500,7,78,0,44
EMP-1102,Engineering,160000,10,71,0,64
EMP-1103,Sales,150000,12,90,0,36
EMP-1104,Product,112500,7,89,0,48
EMP-1105,Marketing,120000,8,89,0,52
EMP-1106,Customer Support,135000,10,90,0,20
EMP-1107,Finance,157500,13,70,0,68
EMP-1108,Engineering,145000,8,68,0,38
EMP-1109,Sales,75000,2,78,0,51
EMP-1110,Product,97500,5,86,0,64
EMP-1111,Marketing,67500,1,92,0,41
EMP-1112,Customer Support,150000,12,76,0,67
EMP-1113,Finance,142500,11,77,0,22
EMP-1114,Engineering,197500,15,75,0,29
EMP-1115,Sales,75000,2,90,0,42
EMP-1116,Product,127500,9,83,0,61
EMP-1117,Marketing,90000,4,87,0,58
EMP-1118,Customer Support,82500,3,89,0,46
EMP-1119,Finance,127500,9,89,0,24
EMP-1120,Engineering,197500,15,73,0,27
EMP-1121,Sales,135000,10,95,0,50
EMP-1122,Product,112500,7,75,0,32
EMP-1123,Marketing,112500,7,70,0,11
EMP-1124,Customer Support,127500,9,94,0,20
EMP-1125,Finance,127500,9,95,0,45
EMP-1126,Engineering,182500,13,87,0,61
EMP-1127,Sales,135000,10,66,0,28
