Store,Category,Inventory,Sales,Margin,Customer_Count
Flagship NYC,Electronics,7769,3962,36.7,36
London Oxford St,Apparel,6082,6690,36.8,113
Tokyo Shibuya,Home & Living,5552,2998,40.3,51
Berlin Mitte,Beauty & Health,2553,2502,41.9,46
Flagship NYC,Electronics,7961,6448,31.4,66
London Oxford St,Apparel,7899,4897,38,51
Tokyo Shibuya,Home & Living,4333,2860,56.4,46
Berlin Mitte,Beauty & Health,2901,2901,56.4,42
Flagship NYC,Electronics,5307,4086,37.7,40
London Oxford St,Apparel,5600,4088,45.7,40
Tokyo Shibuya,Home & Living,6820,7161,48.4,110
Berlin Mitte,Beauty & Health,7253,6600,43.5,67
Flagship NYC,Electronics,3031,1273,39.1,20
London Oxford St,Apparel,7688,3306,34.2,31
Tokyo Shibuya,Home & Living,5846,3157,41.6,33
Berlin Mitte,Beauty & Health,1480,814,29.8,9
Flagship NYC,Electronics,7855,6205,48.8,97
London Oxford St,Apparel,3007,3278,37.6,32
Tokyo Shibuya,Home & Living,4290,4547,52.6,45
Berlin Mitte,Beauty & Health,6300,6993,29,81
Flagship NYC,Electronics,2203,2181,44.7,22
London Oxford St,Apparel,7384,3470,32.1,75
Tokyo Shibuya,Home & Living,1622,1362,54.4,18
Berlin Mitte,Beauty & Health,6722,4033,30.2,45
Flagship NYC,Electronics,2168,911,32.9,9
London Oxford St,Apparel,6259,5883,40.1,55
Tokyo Shibuya,Home & Living,3266,3266,39.2,49
Berlin Mitte,Beauty & Health,6078,3951,36.7,53
Flagship NYC,Electronics,1957,2309,31.5,24
London Oxford St,Apparel,913,676,38.3,12
Tokyo Shibuya,Home & Living,7237,7599,34,136
Berlin Mitte,Beauty & Health,3574,2430,54.9,33
Flagship NYC,Electronics,5175,4037,33.1,39
London Oxford St,Apparel,2287,1601,38.1,22
Tokyo Shibuya,Home & Living,4716,2971,47.1,50
Berlin Mitte,Beauty & Health,6667,5467,37.1,49
Flagship NYC,Electronics,4260,3110,35.9,68
London Oxford St,Apparel,3969,2143,34.5,38
Tokyo Shibuya,Home & Living,6757,7703,41.2,92
Berlin Mitte,Beauty & Health,4749,3229,42.5,27
Flagship NYC,Electronics,3609,1985,33.6,32
London Oxford St,Apparel,3810,4153,56.6,67
Tokyo Shibuya,Home & Living,6960,8143,46.6,129
Berlin Mitte,Beauty & Health,5364,2467,35.7,27
Flagship NYC,Electronics,1633,1845,34.9,19
London Oxford St,Apparel,612,490,43.1,6
Tokyo Shibuya,Home & Living,6756,2702,34,39
Berlin Mitte,Beauty & Health,965,782,48.1,7
Flagship NYC,Electronics,2824,1356,49.9,21
London Oxford St,Apparel,4319,3066,30.1,40
Tokyo Shibuya,Home & Living,3487,2197,42.2,19
Berlin Mitte,Beauty & Health,6637,3252,35.9,37
Flagship NYC,Electronics,2337,1683,43.6,15
London Oxford St,Apparel,6226,5230,49.5,101
Tokyo Shibuya,Home & Living,1618,1683,41.1,19
Berlin Mitte,Beauty & Health,764,313,54.1,3
Flagship NYC,Electronics,5966,2983,51.5,31
London Oxford St,Apparel,534,566,37,7
Tokyo Shibuya,Home & Living,7036,5629,43.1,56
Berlin Mitte,Beauty & Health,7001,7001,32.8,71
Flagship NYC,Electronics,756,892,44.3,8
London Oxford St,Apparel,3295,3888,52,58
Tokyo Shibuya,Home & Living,7346,8154,52.4,88
Berlin Mitte,Beauty & Health,726,726,44.5,11
Flagship NYC,Electronics,4489,2604,33.5,30
London Oxford St,Apparel,6107,6412,55.9,57
Tokyo Shibuya,Home & Living,2936,3112,49.1,32
Berlin Mitte,Beauty & Health,6495,5521,48,61
Flagship NYC,Electronics,6317,3095,30.7,50
London Oxford St,Apparel,3892,3230,52.6,63
Tokyo Shibuya,Home & Living,4450,3293,41.8,39
Berlin Mitte,Beauty & Health,3607,2886,39,34
Flagship NYC,Electronics,4988,5038,36.6,99
London Oxford St,Apparel,1584,1236,55.9,22
Tokyo Shibuya,Home & Living,5676,3235,33.9,43
Berlin Mitte,Beauty & Health,2471,2644,44.9,47
Flagship NYC,Electronics,7218,6280,35.4,72
London Oxford St,Apparel,3403,2416,33,33
Tokyo Shibuya,Home & Living,4092,3478,42.7,58
Berlin Mitte,Beauty & Health,2094,1780,33,17
Flagship NYC,Electronics,1699,1444,42.2,14
London Oxford St,Apparel,4977,5425,57.2,65
Tokyo Shibuya,Home & Living,6078,2735,42.6,35
Berlin Mitte,Beauty & Health,2000,1480,51.5,22
Flagship NYC,Electronics,5553,3832,53.3,34
London Oxford St,Apparel,4086,2819,56.4,55
Tokyo Shibuya,Home & Living,2073,2135,43.5,29
Berlin Mitte,Beauty & Health,5721,4977,40.6,59
Flagship NYC,Electronics,1677,855,33.3,8
London Oxford St,Apparel,1812,1939,51.4,20
Tokyo Shibuya,Home & Living,3320,3951,29.9,35
Berlin Mitte,Beauty & Health,6401,5505,29.5,66
Flagship NYC,Electronics,1019,1019,30.6,9
London Oxford St,Apparel,5332,6078,47.6,73
Tokyo Shibuya,Home & Living,4429,3676,44.3,63
Berlin Mitte,Beauty & Health,4162,1790,39.6,26
Flagship NYC,Electronics,6914,4909,30.6,67
London Oxford St,Apparel,537,569,52.5,10
Tokyo Shibuya,Home & Living,685,397,39.5,5
Berlin Mitte,Beauty & Health,7966,6054,37.4,68
Flagship NYC,Electronics,7260,4138,46.5,74
London Oxford St,Apparel,4766,3384,51.3,36
Tokyo Shibuya,Home & Living,6415,5389,29.2,55
Berlin Mitte,Beauty & Health,2377,1902,57.7,26
Flagship NYC,Electronics,2255,1173,54.9,17
London Oxford St,Apparel,5583,3126,54.2,33
Tokyo Shibuya,Home & Living,7458,8800,35.2,97
Berlin Mitte,Beauty & Health,6270,7461,40.8,64
Flagship NYC,Electronics,7227,7950,43,112
London Oxford St,Apparel,6877,3645,31.7,31
Tokyo Shibuya,Home & Living,6798,5438,39.7,63
Berlin Mitte,Beauty & Health,7871,6926,46.8,59
Flagship NYC,Electronics,1306,731,53.4,7
London Oxford St,Apparel,5291,5291,32.4,85
Tokyo Shibuya,Home & Living,2606,1642,36.5,19
Berlin Mitte,Beauty & Health,2216,1507,37.4,27
Flagship NYC,Electronics,2489,2539,49.7,33
London Oxford St,Apparel,7356,7577,55.5,69
Tokyo Shibuya,Home & Living,4400,2992,40.4,47
Berlin Mitte,Beauty & Health,6812,4223,40.7,45
Flagship NYC,Electronics,6050,4659,43.6,61
London Oxford St,Apparel,6397,2559,53.6,22
Tokyo Shibuya,Home & Living,6094,2499,36.9,25
Berlin Mitte,Beauty & Health,2113,993,56.2,21
Flagship NYC,Electronics,6876,3300,57.5,46
London Oxford St,Apparel,5497,2199,29.5,41
Tokyo Shibuya,Home & Living,5665,2776,49,29
Berlin Mitte,Beauty & Health,5686,5117,50.1,60
Flagship NYC,Electronics,6667,7134,33.2,149
London Oxford St,Apparel,7202,6554,34.9,55
Tokyo Shibuya,Home & Living,7260,3703,56.9,37
